Model,SeqLen,PPL
Transformer,256,43.39579642386743
Transformer,512,37.685577866541074
Transformer,1024,36.46179973891293
Transformer,2048,42.02959012790265
Mamba,256,52.06995561365853
Mamba,512,46.43363751273149
Mamba,1024,45.840103395783345
Mamba,2048,47.900047660864345
Hybrid-Mine,256,42.35924218606753
Hybrid-Mine,512,37.59833127390823
Hybrid-Mine,1024,36.99347995443586
Hybrid-Mine,2048,38.88267810970898
Hybrid-Official,256,39.95630397348283
Hybrid-Official,512,34.790545034061225
Hybrid-Official,1024,33.58553460630041
Hybrid-Official,2048,35.17184350219601
